Origin Address,Destination Address,Distance,Origin Latitude,Origin Longitude,Destination Latitude,Destination Longitude,Google Maps URL
"Baneswar, Shibpur, Puthia, Rajshahi","Dalalpur, Kunjerhat, Borhanuddin, Bhola","১১ ঘণ্টা ১৬ মিনিট
৩৮৪ কি.মি.
Faridpur-Barisal Highway/N8 হয়ে
Fastest route, despite the usual traffic
 এই রুটটিতে টোল আছে৷
 এই রুটটিতে ফেরি আছে৷
বিশদ বিবরণ
প্রিভিউ",23.4495788,88.4926758,23.4495788,88.4926758,"https://www.google.com/maps/dir/?api=1&origin=Baneswar,+Shibpur,+Puthia,+Rajshahi&destination=Dalalpur,+Kunjerhat,+Borhanuddin,+Bhola&travelmode=driving"
"Baneswar, Shibpur, Puthia, Rajshahi","Batiara, Marjal, Kataghat, Raipura, Narsingdi","৫ ঘণ্টা ৩০ মিনিট
২৪৮ কি.মি.
ঢাকা - যমুনা সেতু মহাসড়ক/নাটোর - ঢাকা মহাসড়ক হয়ে
Fastest route, despite the usual traffic
 এই রুটটিতে টোল আছে৷
বিশদ বিবরণ",24.1531917,88.4201108,24.1531917,88.4201108,"https://www.google.com/maps/dir/?api=1&origin=Baneswar,+Shibpur,+Puthia,+Rajshahi&destination=Batiara,+Marjal,+Kataghat,+Raipura,+Narsingdi&travelmode=driving"
"Baneswar, Shibpur, Puthia, Rajshahi","Chaulia, Rupdia Bazar, Narendrapur, Jashore Sadar, Jashore","৫ ঘণ্টা ৩২ মিনিট
১৯১ কি.মি.
R606 এবং N7 হয়ে
Fastest route, despite the usual traffic
 এই রুটটিতে টোল আছে৷
বিশদ বিবরণ",23.7671611,88.4163695,23.7671611,88.4163695,"https://www.google.com/maps/dir/?api=1&origin=Baneswar,+Shibpur,+Puthia,+Rajshahi&destination=Chaulia,+Rupdia+Bazar,+Narendrapur,+Jashore+Sadar,+Jashore&travelmode=driving"
"Baneswar, Shibpur, Puthia, Rajshahi","Mulaid, Mawna Chouresta, Tangra, Sreepur, Gazipur","৪ ঘণ্টা ২৪ মিনিট
২১৮ কি.মি.
ঢাকা - যমুনা সেতু মহাসড়ক/নাটোর - ঢাকা মহাসড়ক হয়ে
Fastest route, lighter traffic than usual
 এই রুটটিতে টোল আছে৷
বিশদ বিবরণ",24.3684401,88.2675285,24.3684401,88.2675285,"https://www.google.com/maps/dir/?api=1&origin=Baneswar,+Shibpur,+Puthia,+Rajshahi&destination=Mulaid,+Mawna+Chouresta,+Tangra,+Sreepur,+Gazipur&travelmode=driving"
"Baneswar, Shibpur, Puthia, Rajshahi","Satia Cadet College, Babuganj, Barishal","৭ ঘণ্টা ৪০ মিনিট
২৯৫ কি.মি.
Faridpur-Barisal Highway/N8 হয়ে
Fastest route, despite the usual traffic
 এই রুটটিতে টোল আছে৷
বিশদ বিবরণ",23.59555,88.2648824,23.59555,88.2648824,"https://www.google.com/maps/dir/?api=1&origin=Baneswar,+Shibpur,+Puthia,+Rajshahi&destination=Satia+Cadet+College,+Babuganj,+Barishal&travelmode=driving"
"Baneswar, Shibpur, Puthia, Rajshahi","Brammankanda, Sreeangan, Kotwali, Faridpur","৪ ঘণ্টা ৪৬ মিনিট
১৮৩ কি.মি.
R606 এবং Dhaka - Kushtia Hwy/Rajbari - Kushtia Hwy/R710 হয়ে
Fastest route, despite the usual traffic
 এই রুটটিতে টোল আছে৷
বিশদ বিবরণ",23.9982098,88.6240772,23.9982098,88.6240772,"https://www.google.com/maps/dir/?api=1&origin=Baneswar,+Shibpur,+Puthia,+Rajshahi&destination=Brammankanda,+Sreeangan,+Kotwali,+Faridpur&travelmode=driving"
"Baneswar, Shibpur, Puthia, Rajshahi","Badarpur, Maokaran, Patuakhali Sadar, Patuakhali","৮ ঘণ্টা ৫৩ মিনিট
৩৪০ কি.মি.
Faridpur-Barisal Highway/N8 হয়ে
Fastest route, despite the usual traffic
 এই রুটটিতে টোল আছে৷
বিশদ বিবরণ",23.4183627,88.2648802,23.4183627,88.2648802,"https://www.google.com/maps/dir/?api=1&origin=Baneswar,+Shibpur,+Puthia,+Rajshahi&destination=Badarpur,+Maokaran,+Patuakhali+Sadar,+Patuakhali&travelmode=driving"
"Baneswar, Shibpur, Puthia, Rajshahi","Masjidia Chowdhury Para, Mostafapur, Hadifakirhat, Mirsarai, Chattogram","৮ ঘণ্টা ৪৩ মিনিট
৪৩০ কি.মি.
ঢাকা - চট্টগ্রাম মহাসড়ক/N1 হয়ে
Fastest route, despite the usual traffic
 এই রুটটিতে টোল আছে৷
বিশদ বিবরণ",23.5513987,87.5259871,23.5513987,87.5259871,"https://www.google.com/maps/dir/?api=1&origin=Baneswar,+Shibpur,+Puthia,+Rajshahi&destination=Masjidia+Chowdhury+Para,+Mostafapur,+Hadifakirhat,+Mirsarai,+Chattogram&travelmode=driving"
"Baneswar, Shibpur, Puthia, Rajshahi","Keranirdhal, Debottor, Atghoria, Pabna","৪ ঘণ্টা ১১ মিনিট
২০০ কি.মি.
ঢাকা - রাজশাহী মহাসড়ক/নাটোর - ঢাকা মহাসড়ক/N507 হয়ে
Fastest route, the usual traffic
 এই রুটটিতে টোল আছে৷
বিশদ বিবরণ",24.2452461,88.1064308,24.2452461,88.1064308,"https://www.google.com/maps/dir/?api=1&origin=Baneswar,+Shibpur,+Puthia,+Rajshahi&destination=Keranirdhal,+Debottor,+Atghoria,+Pabna&travelmode=driving"
"Baneswar, Shibpur, Puthia, Rajshahi","Mohamadpur (Munsipara), Birampur, Dinajpur","৩ ঘণ্টা ৫৬ মিনিট
১৮০ কি.মি.
নাটোর রোড/বগুড়া - নাটর মহাসড়ক এবং দিনাজপুর - গোবিন্দগঞ্জ মহাসড়ক/R585 হয়ে
Fastest route now due to traffic conditions
বিশদ বিবরণ",24.8724787,88.4160346,24.8724787,88.4160346,"https://www.google.com/maps/dir/?api=1&origin=Baneswar,+Shibpur,+Puthia,+Rajshahi&destination=Mohamadpur+(Munsipara),+Birampur,+Dinajpur&travelmode=driving"
"Baneswar, Shibpur, Puthia, Rajshahi","Uttor Jogannathpur, Mostafapur, Moulvibazar Sadar, Moulvibazar","৯ ঘণ্টা ১৭ মিনিট
৩৯০ কি.মি.
জাতির পিতা হযরত ইব্রাহিম (আঃ) এক্সপ্রেসওয়ে/ঢাকা-সিলেট মহাসড়ক/N2 হয়ে
Fastest route now, avoids road closure on জয়দেবপুর - টাঙ্গাইল - জামালপুর মহাসড়ক.
 এই রুটটিতে টোল আছে৷
বিশদ বিবরণ",23.891632,87.6085028,23.891632,87.6085028,"https://www.google.com/maps/dir/?api=1&origin=Baneswar,+Shibpur,+Puthia,+Rajshahi&destination=Uttor+Jogannathpur,+Mostafapur,+Moulvibazar+Sadar,+Moulvibazar&travelmode=driving"
"Baneswar, Shibpur, Puthia, Rajshahi","Julnas Pump, Joka, Phukhuria, Ghior, Manikganj",N/A,24.3780082,88.7524739,24.3780082,88.7524739,"https://www.google.com/maps/dir/?api=1&origin=Baneswar,+Shibpur,+Puthia,+Rajshahi&destination=Julnas+Pump,+Joka,+Phukhuria,+Ghior,+Manikganj&travelmode=driving"
"Baneswar, Shibpur, Puthia, Rajshahi","Merigopinathpur, Gopalganj Sadar, Gopalganj","৬ ঘণ্টা ৩০ মিনিট
২৫৪ কি.মি.
R606 হয়ে
Fastest route now due to traffic conditions
 এই রুটটিতে টোল আছে৷
বিশদ বিবরণ",23.7040122,88.0348275,23.7040122,88.0348275,"https://www.google.com/maps/dir/?api=1&origin=Baneswar,+Shibpur,+Puthia,+Rajshahi&destination=Merigopinathpur,+Gopalganj+Sadar,+Gopalganj&travelmode=driving"
"Baneswar, Shibpur, Puthia, Rajshahi","Talukdar Bari, Khalishaduli, Baburhat, Chandpur Sadar, Chandpur","৮ ঘণ্টা ১১ মিনিট
৩৩৮ কি.মি.
ঢাকা - যমুনা সেতু মহাসড়ক হয়ে
Fastest route now due to traffic conditions
 এই রুটটিতে টোল আছে৷
বিশদ বিবরণ",23.8161721,88.4430714,23.8161721,88.4430714,"https://www.google.com/maps/dir/?api=1&origin=Baneswar,+Shibpur,+Puthia,+Rajshahi&destination=Talukdar+Bari,+Khalishaduli,+Baburhat,+Chandpur+Sadar,+Chandpur&travelmode=driving"
"Baneswar, Shibpur, Puthia, Rajshahi","Chuknagor, Dumuria, Khulna","৬ ঘণ্টা ২৩ মিনিট
২২৫ কি.মি.
N7 হয়ে
Fastest route, despite the usual traffic
 এই রুটটিতে টোল আছে৷
বিশদ বিবরণ",23.6226117,88.4812868,23.6226117,88.4812868,"https://www.google.com/maps/dir/?api=1&origin=Baneswar,+Shibpur,+Puthia,+Rajshahi&destination=Chuknagor,+Dumuria,+Khulna&travelmode=driving"
"Kolahata, Kalikapur, Haroa, Bonpara, Boraigram, Natore","Baneswar, Shibpur, Puthia, Rajshahi","৫৩ মিনিট
৪১.৯ কি.মি.
নাটোর - ঢাকা মহাসড়ক/রাজশাহী - ঢাকা মহাসড়ক/N6 এবং রাজশাহী - ঢাকা মহাসড়ক/N6 হয়ে
Fastest route, despite the usual traffic
বিশদ বিবরণ",24.3585517,88.5921562,24.3585517,88.5921562,"https://www.google.com/maps/dir/?api=1&origin=Kolahata,+Kalikapur,+Haroa,+Bonpara,+Boraigram,+Natore&destination=Baneswar,+Shibpur,+Puthia,+Rajshahi&travelmode=driving"
"Kolahata, Kalikapur, Haroa, Bonpara, Boraigram, Natore","Doshtika, Noongola, Bogura Sadar, Bogura","২ ঘণ্টা ২ মিনিট
৮৫.৬ কি.মি.
নাটোর রোড/বগুড়া - নাটর মহাসড়ক হয়ে
Fastest route now due to traffic conditions
বিশদ বিবরণ",24.6043924,88.8487461,24.6043924,88.8487461,"https://www.google.com/maps/dir/?api=1&origin=Kolahata,+Kalikapur,+Haroa,+Bonpara,+Boraigram,+Natore&destination=Doshtika,+Noongola,+Bogura+Sadar,+Bogura&travelmode=driving"
"Kolahata, Kalikapur, Haroa, Bonpara, Boraigram, Natore","Kuchbihar Road, Mahigong, Satmatha, Bottola, Mahiganj, Rangpur","৩ ঘণ্টা ৪৭ মিনিট
১৮২ কি.মি.
নাটোর রোড/বগুড়া - নাটর মহাসড়ক এবং বগুড়া - রংপুর মহাসড়ক/N5 হয়ে
Fastest route now due to traffic conditions
বিশদ বিবরণ",25.0164136,88.5340456,25.0164136,88.5340456,"https://www.google.com/maps/dir/?api=1&origin=Kolahata,+Kalikapur,+Haroa,+Bonpara,+Boraigram,+Natore&destination=Kuchbihar+Road,+Mahigong,+Satmatha,+Bottola,+Mahiganj,+Rangpur&travelmode=driving"
"Kolahata, Kalikapur, Haroa, Bonpara, Boraigram, Natore","Kumurpur (near Zosna filling station), Birganj, Dinajpur","৫ ঘণ্টা ৫৮ মিনিট
২৪৫ কি.মি.
দিনাজপুর - গোবিন্দগঞ্জ মহাসড়ক/R585 হয়ে
Fastest route now due to traffic conditions
বিশদ বিবরণ",25.071917,88.4381635,25.071917,88.4381635,"https://www.google.com/maps/dir/?api=1&origin=Kolahata,+Kalikapur,+Haroa,+Bonpara,+Boraigram,+Natore&destination=Kumurpur+(near+Zosna+filling+station),+Birganj,+Dinajpur&travelmode=driving"
"Kolahata, Kalikapur, Haroa, Bonpara, Boraigram, Natore","Thikadar Para, Kale, Belgasha, Khalilgonj, Kurigram","৪ ঘণ্টা ৫৮ মিনিট
২২৩ কি.মি.
নাটোর রোড/বগুড়া - নাটর মহাসড়ক এবং বগুড়া - রংপুর মহাসড়ক/N5 হয়ে
Fastest route now due to traffic conditions
 এই রুটটিতে টোল আছে৷
বিশদ বিবরণ",25.0579148,88.6578085,25.0579148,88.6578085,"https://www.google.com/maps/dir/?api=1&origin=Kolahata,+Kalikapur,+Haroa,+Bonpara,+Boraigram,+Natore&destination=Thikadar+Para,+Kale,+Belgasha,+Khalilgonj,+Kurigram&travelmode=driving"
"Kolahata, Kalikapur, Haroa, Bonpara, Boraigram, Natore","Dhaka Road, Gas Field Chourasta, Shakhipur, Tangail","৬ ঘণ্টা ৭ মিনিট
২৬৫ কি.মি.
ঢাকা - যমুনা সেতু মহাসড়ক হয়ে
Fastest route now due to traffic conditions
 এই রুটটিতে টোল আছে৷
বিশদ বিবরণ",23.970815,88.6561097,23.970815,88.6561097,"https://www.google.com/maps/dir/?api=1&origin=Kolahata,+Kalikapur,+Haroa,+Bonpara,+Boraigram,+Natore&destination=Dhaka+Road,+Gas+Field+Chourasta,+Shakhipur,+Tangail&travelmode=driving"
"Kolahata, Kalikapur, Haroa, Bonpara, Boraigram, Natore","Digharkanda (Koborsthan Road), Amlitola, Mymensingh Sadar, Mymensingh","৪ ঘণ্টা ৮ মিনিট
১৮০ কি.মি.
ঢাকা - রাজশাহী মহাসড়ক/নাটোর - ঢাকা মহাসড়ক/N507 হয়ে
Fastest route, despite the usual traffic
 এই রুটটিতে টোল আছে৷
বিশদ বিবরণ",24.5338384,88.426961,24.5338384,88.426961,"https://www.google.com/maps/dir/?api=1&origin=Kolahata,+Kalikapur,+Haroa,+Bonpara,+Boraigram,+Natore&destination=Digharkanda+(Koborsthan+Road),+Amlitola,+Mymensingh+Sadar,+Mymensingh&travelmode=driving"
"Kolahata, Kalikapur, Haroa, Bonpara, Boraigram, Natore","Kuchai, Kadamtoli, South Surma, Sylhet","৯ ঘণ্টা ২০ মিনিট
৩৮৯ কি.মি.
জাতির পিতা হযরত ইব্রাহিম (আঃ) এক্সপ্রেসওয়ে/ঢাকা-সিলেট মহাসড়ক/N2 হয়ে
Fastest route now, avoids road closure on জয়দেবপুর - টাঙ্গাইল - জামালপুর মহাসড়ক.
 এই রুটটিতে টোল আছে৷
বিশদ বিবরণ",24.1026912,87.8029934,24.1026912,87.8029934,"https://www.google.com/maps/dir/?api=1&origin=Kolahata,+Kalikapur,+Haroa,+Bonpara,+Boraigram,+Natore&destination=Kuchai,+Kadamtoli,+South+Surma,+Sylhet&travelmode=driving"
"Kolahata, Kalikapur, Haroa, Bonpara, Boraigram, Natore","Word-01, College Road, Mirpur Bazar, Bahubal, Habiganj","৭ ঘণ্টা ৩২ মিনিট
৩১৩ কি.মি.
ঢাকা - যমুনা সেতু মহাসড়ক/নাটোর - ঢাকা মহাসড়ক এবং জাতির পিতা হযরত ইব্রাহিম (আঃ) এক্সপ্রেসওয়ে/ঢাকা-সিলেট মহাসড়ক/N2 হয়ে
Fastest route now, avoids road closure on জয়দেবপুর - টাঙ্গাইল - জামালপুর মহাসড়ক.
 এই রুটটিতে টোল আছে৷
বিশদ বিবরণ
প্রিভিউ",24.1780554,87.6650544,24.1780554,87.6650544,"https://www.google.com/maps/dir/?api=1&origin=Kolahata,+Kalikapur,+Haroa,+Bonpara,+Boraigram,+Natore&destination=Word-01,+College+Road,+Mirpur+Bazar,+Bahubal,+Habiganj&travelmode=driving"
"Kolahata, Kalikapur, Haroa, Bonpara, Boraigram, Natore","Daklapara, Kalakochua Bazar, Burichong, Cumilla","৬ ঘণ্টা ৪৬ মিনিট
৩০১ কি.মি.
ঢাকা - যমুনা সেতু মহাসড়ক এবং ঢাকা - চট্টগ্রাম মহাসড়ক হয়ে
Fastest route, despite the usual traffic
 এই রুটটিতে টোল আছে৷
বিশদ বিবরণ",23.8911901,88.782863,23.8911901,88.782863,"https://www.google.com/maps/dir/?api=1&origin=Kolahata,+Kalikapur,+Haroa,+Bonpara,+Boraigram,+Natore&destination=Daklapara,+Kalakochua+Bazar,+Burichong,+Cumilla&travelmode=driving"
